frame_idx,timestamp_ms,frame_w,frame_h,zone_header_mean,zone_left_mean,zone_main_mean,zone_right_mean,zone_timeline_mean,nodes_count,largest_node_x,largest_node_y,largest_node_r,edges_density,playhead_x,dominant_palette,notes
0,0,1600,1200,#0b0405,#120d0c,#231815,#271b19,#070505,12,417,679,7,6.806612213146636,242,,
1,500,1600,1200,#0b0405,#120d0c,#241815,#281b19,#070505,12,649,415,7,7.608012446518864,209,,
2,1000,1600,1200,#0c0405,#130e0d,#241916,#2a1c1a,#080505,12,776,787,7,7.172488007260469,199,,
3,1500,1600,1200,#0c0405,#140e0d,#251916,#2b1d1b,#080505,13,439,735,7,7.085647607934656,1347,,
4,2000,1600,1200,#0c0405,#140f0d,#261a16,#2c1e1c,#080505,13,767,372,7,7.673693763775444,1359,,
5,2500,1600,1200,#0f0506,#18100e,#291d19,#2e1f1b,#201615,14,575,866,7,8.676986905224945,161,,
6,3000,1600,1200,#0e0506,#1a1210,#291d19,#2e1f1b,#211715,12,595,453,7,8.434539089848307,124,,
7,3500,1600,1200,#0d0405,#1e1413,#2a1e19,#2e1f1a,#211715,13,913,517,7,8.913263321664722,88,,
8,4000,1600,1200,#0b0404,#201614,#2a1e1a,#2f201c,#221715,14,461,869,7,8.918993906391806,56,,
9,4500,1600,1200,#0a0304,#231916,#2b1e19,#30211d,#231815,13,407,414,7,8.621885129002981,25,,
10,5000,1600,1200,#090203,#261b18,#2b1e19,#32231f,#231816,13,772,530,7,8.070867366783352,1308,,
11,5500,1600,1200,#080203,#271c19,#2c1f1a,#332520,#241816,13,465,341,7,9.526435887462725,314,,
12,6000,1600,1200,#080203,#271d19,#2d201b,#332420,#241917,11,433,341,7,9.793128484377025,1459,,
13,6500,1600,1200,#070203,#281d19,#2d201b,#342520,#241917,12,356,481,7,9.479268767016725,1588,,
14,7000,1600,1200,#070203,#281d19,#2e201b,#342521,#241917,9,494,560,7,9.528639958511604,1544,,
15,7500,1600,1200,#231c1a,#060404,#261b18,#2b221e,#070303,3,447,783,7,5.171632309088552,385,,
16,8000,1600,1200,#1e1815,#070505,#241814,#2d231f,#070404,0,-1,-1,-1,2.233164786723713,351,,
17,8500,1600,1200,#1a1412,#0a0606,#251915,#2e231f,#070404,0,-1,-1,-1,3.573239984441851,323,,
18,9000,1600,1200,#17100f,#0d0908,#251a16,#2e221e,#070404,0,-1,-1,-1,7.531751588227667,299,,
19,9500,1600,1200,#150d0d,#0f0a09,#261a16,#2e221d,#070404,0,-1,-1,-1,9.291481913652275,272,,
20,10000,1600,1200,#120a0a,#120d0b,#281c18,#2d1f19,#070404,0,-1,-1,-1,12.458732010890705,253,,
21,10500,1600,1200,#0f0607,#150f0d,#291d19,#30231b,#070404,0,-1,-1,-1,13.65245689096331,232,,
22,11000,1600,1200,#0f0707,#16100e,#291d19,#32251c,#080404,0,-1,-1,-1,13.821288733307403,216,,
23,11500,1600,1200,#100708,#18110f,#291d19,#35271e,#080404,0,-1,-1,-1,14.367016725009725,206,,
24,12000,1600,1200,#100708,#1a1110,#291d19,#37291f,#080404,0,-1,-1,-1,14.549513807856865,450,,
25,12500,1600,1200,#100708,#1b1210,#291d19,#392a20,#080504,0,-1,-1,-1,14.469726435887463,441,,
26,13000,1600,1200,#070304,#1a1110,#2d1f1a,#2f2219,#0f0a09,1,881,963,7,14.256372358356023,1299,,
27,13500,1600,1200,#070303,#1a1210,#2d201b,#31231a,#0e0908,0,-1,-1,-1,15.224400363023467,1313,,
28,14000,1600,1200,#080203,#1b1311,#2f221b,#33241a,#0e0908,0,-1,-1,-1,13.818203033838973,1327,,
29,14500,1600,1200,#080203,#1b1412,#2f221b,#34251b,#0d0908,1,659,873,7,13.574432775833008,1339,,
30,15000,1600,1200,#090303,#1d1515,#2f221b,#35261c,#0d0808,0,-1,-1,-1,13.534759496953196,1347,,
31,15500,1600,1200,#0a0303,#1d1616,#2f211a,#36261c,#0c0808,0,-1,-1,-1,13.7251912355763,1355,,
32,16000,1600,1200,#0a0304,#1c1514,#2e211a,#37271d,#0c0808,0,-1,-1,-1,13.952210553610787,1362,,
