frame_idx,timestamp_ms,frame_w,frame_h,zone_header_mean,zone_left_mean,zone_main_mean,zone_right_mean,zone_timeline_mean,nodes_count,largest_node_x,largest_node_y,largest_node_r,edges_density,playhead_x,dominant_palette,notes
0,0,1600,1200,#0b0405,#120d0c,#231815,#271b19,#070505,12,417,679,7,6.806612213146636,242,,
1,33,1600,1200,#0b0405,#120d0c,#231815,#271b19,#070505,12,442,497,7,6.574743938804615,244,,
2,66,1600,1200,#0b0405,#120d0c,#231815,#271b19,#070505,12,542,408,7,7.123557629975366,227,,
3,100,1600,1200,#0b0405,#120d0c,#231815,#271b19,#070505,12,542,408,7,6.77840010372099,224,,
4,133,1600,1200,#0b0405,#120d0c,#231815,#271b19,#070505,12,952,509,7,7.032309088551796,225,,
5,166,1600,1200,#0b0405,#120d0c,#231815,#271b19,#070505,12,755,357,7,7.125320886814469,220,,
6,200,1600,1200,#0b0405,#120d0c,#231815,#281b19,#070505,12,755,357,7,7.1927654609101515,217,,
7,233,1600,1200,#0b0405,#120d0c,#231815,#281b19,#070505,12,813,770,7,7.069337482172955,221,,
8,266,1600,1200,#0b0405,#120d0c,#231815,#281b19,#070505,12,439,495,7,6.850693634124206,252,,
9,300,1600,1200,#0b0405,#120d0c,#231815,#281b19,#070505,12,412,680,7,6.617943731362635,212,,
10,333,1600,1200,#0b0405,#120d0c,#241815,#281b19,#070505,12,437,495,7,6.716245300142616,243,,
11,366,1600,1200,#0b0405,#120d0c,#241815,#281b19,#070505,12,411,680,7,6.919901465058992,220,,
12,400,1600,1200,#0b0405,#120d0c,#241815,#281b19,#070505,12,955,507,7,6.717126928562168,228,,
13,433,1600,1200,#0b0405,#120d0c,#241815,#281b19,#070505,12,955,507,7,7.164112537274731,223,,
14,466,1600,1200,#0b0405,#120d0c,#241815,#281b19,#070505,12,955,507,7,7.124880072604693,212,,
15,500,1600,1200,#0b0405,#120d0c,#241815,#281b19,#070505,12,649,415,7,7.608012446518864,209,,
16,533,1600,1200,#0b0405,#120d0c,#241815,#281c1a,#070505,12,770,385,7,7.347932062751199,216,,
17,566,1600,1200,#0b0405,#130d0c,#241815,#281c1a,#070505,13,407,681,7,7.126202515234021,218,,
18,600,1600,1200,#0b0405,#130d0c,#241815,#291c1a,#070505,12,536,403,7,7.180422663036432,207,,
19,633,1600,1200,#0b0405,#130d0c,#241815,#291c1a,#070505,12,406,681,7,7.005860235965254,218,,
20,666,1600,1200,#0b0405,#130d0d,#241815,#291c1a,#070505,12,647,414,7,7.501335407753144,220,,
21,700,1600,1200,#0b0405,#130d0d,#241815,#291c1a,#070505,12,451,731,7,7.011590820692337,209,,
22,733,1600,1200,#0b0405,#130d0d,#241915,#291c1a,#070505,12,451,731,7,7.503098664592247,205,,
23,766,1600,1200,#0b0405,#130e0d,#241915,#291c1a,#070505,12,449,731,7,7.299883313885648,207,,
24,800,1600,1200,#0b0405,#130e0d,#241915,#291c1a,#070505,12,646,413,7,6.903150525087515,219,,
25,833,1600,1200,#0b0405,#130e0d,#241915,#291c1a,#070505,12,533,402,7,7.412731751588228,214,,
26,866,1600,1200,#0b0405,#130e0d,#241915,#291c1a,#070505,12,754,350,7,6.917697394010113,204,,
27,900,1600,1200,#0b0405,#130e0d,#241916,#291c1a,#080505,12,401,683,7,7.678983534292753,206,,
28,933,1600,1200,#0c0405,#130e0d,#241916,#291c1a,#080505,12,447,732,7,7.319719953325555,181,,
29,966,1600,1200,#0c0405,#130e0d,#241916,#291c1a,#080505,12,958,505,7,6.863918060417477,213,,
30,1000,1600,1200,#0c0405,#130e0d,#241916,#2a1c1a,#080505,12,776,787,7,7.172488007260469,199,,
31,1033,1600,1200,#0c0405,#130e0d,#241916,#2a1d1a,#080505,12,769,380,7,6.86568131725658,204,,
